,variable,coef,abs_coef
488,garage_yr_blt_1999.0,-0.0,0.0
487,garage_yr_blt_1998.0,0.0,0.0
486,garage_yr_blt_1997.0,0.0,0.0
485,garage_yr_blt_1996.0,0.0,0.0
484,garage_yr_blt_1995.0,-0.0,0.0
13,2nd_flr_sf,0.0,0.0
482,garage_yr_blt_1993.0,0.0,0.0
14,low_qual_fin_sf,0.0,0.0
480,garage_yr_blt_1991.0,0.0,0.0
479,garage_yr_blt_1990.0,-0.0,0.0
453,garage_yr_blt_1964.0,-0.0,0.0
452,garage_yr_blt_1963.0,-0.0,0.0
451,garage_yr_blt_1962.0,0.0,0.0
450,garage_yr_blt_1961.0,0.0,0.0
426,garage_yr_blt_1935.0,0.0,0.0
425,garage_yr_blt_1934.0,-0.0,0.0
424,garage_yr_blt_1933.0,0.0,0.0
423,garage_yr_blt_1932.0,0.0,0.0
422,garage_yr_blt_1931.0,0.0,0.0
421,garage_yr_blt_1930.0,-0.0,0.0
420,garage_yr_blt_1929.0,-0.0,0.0
419,garage_yr_blt_1928.0,-0.0,0.0
417,garage_yr_blt_1926.0,-0.0,0.0
416,garage_yr_blt_1925.0,-0.0,0.0
324,year_built_1993,0.0,0.0
414,garage_yr_blt_1923.0,0.0,0.0
412,garage_yr_blt_1921.0,0.0,0.0
411,garage_yr_blt_1920.0,-0.0,0.0
410,garage_yr_blt_1919.0,-0.0,0.0
409,garage_yr_blt_1918.0,-0.0,0.0
408,garage_yr_blt_1917.0,-0.0,0.0
407,garage_yr_blt_1916.0,-0.0,0.0
406,garage_yr_blt_1915.0,-0.0,0.0
427,garage_yr_blt_1936.0,0.0,0.0
428,garage_yr_blt_1937.0,0.0,0.0
429,garage_yr_blt_1938.0,0.0,0.0
441,garage_yr_blt_1952.0,-0.0,0.0
449,garage_yr_blt_1960.0,-0.0,0.0
448,garage_yr_blt_1959.0,-0.0,0.0
447,garage_yr_blt_1958.0,-0.0,0.0
446,garage_yr_blt_1957.0,-0.0,0.0
445,garage_yr_blt_1956.0,-0.0,0.0
444,garage_yr_blt_1955.0,-0.0,0.0
443,garage_yr_blt_1954.0,-0.0,0.0
19,half_bath,0.0,0.0
440,garage_yr_blt_1951.0,-0.0,0.0
431,garage_yr_blt_1940.0,0.0,0.0
439,garage_yr_blt_1950.0,0.0,0.0
438,garage_yr_blt_1949.0,0.0,0.0
437,garage_yr_blt_1948.0,-0.0,0.0
436,garage_yr_blt_1947.0,-0.0,0.0
435,garage_yr_blt_1946.0,0.0,0.0
434,garage_yr_blt_1945.0,-0.0,0.0
433,garage_yr_blt_1942.0,-0.0,0.0
432,garage_yr_blt_1941.0,0.0,0.0
325,year_built_1994,-0.0,0.0
110,roof_matl_Tar&Grv,-0.0,0.0
323,year_built_1992,-0.0,0.0
165,central_air_1,-0.0,0.0
191,fence_None,0.0,0.0
190,fence_MnWw,-0.0,0.0
189,fence_MnPrv,-0.0,0.0
188,fence_GdWo,0.0,0.0
187,paved_drive_2,0.0,0.0
186,paved_drive_1,-0.0,0.0
91,condition_2_RRAn,-0.0,0.0
92,condition_2_RRNn,0.0,0.0
181,garage_type_Detchd,-0.0,0.0
180,garage_type_CarPort,-0.0,0.0
93,bldg_type_2fmCon,-0.0,0.0
178,garage_type_Basment,-0.0,0.0
177,garage_type_Attchd,-0.0,0.0
94,bldg_type_Duplex,-0.0,0.0
95,bldg_type_Twnhs,-0.0,0.0
172,functional_Min2,0.0,0.0
